dataset_accession,gene_id,probe_id,probe_variance,gene_symbol,gene_symbol_raw,gene_title,probes_per_gene
GSE63061,6703,ILMN_2191967,0.00148981065854649,SPRR2D,SPRR2D,small proline rich protein 2D,1
GSE63061,6708,ILMN_1717935,0.00936033119375825,SPTA1,SPTA1,"spectrin alpha, erythrocytic 1",1
GSE63061,6709,ILMN_2095133,0.0515699486575794,SPTAN1,SPTAN1,"spectrin alpha, non-erythrocytic 1",1
GSE63061,671,ILMN_1766736,0.093925793816471,BPI,BPI,bactericidal/permeability-increasing protein,1
GSE63061,6710,ILMN_1782845,0.00663894987634845,SPTB,SPTB,"spectrin beta, erythrocytic",2
GSE63061,6711,ILMN_1661335,0.0489400967087569,SPTBN1,SPTBN1,"spectrin beta, non-erythrocytic 1",2
GSE63061,6712,ILMN_1667079,0.00234814467852999,SPTBN2,SPTBN2,"spectrin beta, non-erythrocytic 2",1
GSE63061,6713,ILMN_2041293,0.0143144739385095,SQLE,SQLE,squalene epoxidase,2
GSE63061,6714,ILMN_1729987,0.03956996345859,SRC,SRC,"SRC proto-oncogene, non-receptor tyrosine kinase",2
GSE63061,6715,ILMN_1793241,0.00725172818585234,SRD5A1,SRD5A1,steroid 5 alpha-reductase 1,1
GSE63061,6716,ILMN_1788895,0.000696247131769172,SRD5A2,SRD5A2,steroid 5 alpha-reductase 2,1
GSE63061,6717,ILMN_2400219,0.0265730500007804,SRI,SRI,sorcin,3
GSE63061,6718,ILMN_2157277,0.0626541630747549,AKR1D1,AKR1D1,"aldo-keto reductase family 1, member D1",2
GSE63061,672,ILMN_1738027,0.00765475321357908,BRCA1,BRCA1,"BRCA1, DNA repair associated",2
GSE63061,6720,ILMN_1663035,0.0260566703511786,SREBF1,SREBF1,sterol regulatory element binding transcription factor 1,2
GSE63061,6721,ILMN_2217661,0.012530081846617,SREBF2,SREBF2,sterol regulatory element binding transcription factor 2,1
GSE63061,6722,ILMN_1803398,0.0353517493370373,SRF,SRF,serum response factor,1
GSE63061,6723,ILMN_1661337,0.0326398183446322,SRM,SRM,spermidine synthase,1
GSE63061,6726,ILMN_2099594,0.238162160534339,SRP9,SRP9,signal recognition particle 9,2
GSE63061,6727,ILMN_2234758,0.170411817116338,SRP14,SRP14,signal recognition particle 14,2
GSE63061,6728,ILMN_2192032,0.0735344494779938,SRP19,SRP19,signal recognition particle 19,1
GSE63061,6729,ILMN_2312275,0.0304092442560125,SRP54,SRP54,signal recognition particle 54,1
GSE63061,673,ILMN_1836469,0.0135945415010315,BRAF,BRAF,"B-Raf proto-oncogene, serine/threonine kinase",2
GSE63061,6730,ILMN_1703524,0.0186627467166848,SRP68,SRP68,signal recognition particle 68,1
GSE63061,6731,ILMN_1683888,0.034252517829159,SRP72,SRP72,signal recognition particle 72,1
GSE63061,6732,ILMN_1798804,0.0657598261211309,SRPK1,SRPK1,SRSF protein kinase 1,1
GSE63061,6733,ILMN_1695468,0.0306422622039484,SRPK2,SRPK2,SRSF protein kinase 2,3
GSE63061,6734,ILMN_1785660,0.0274071506243576,SRPRA,SRPRA,SRP receptor alpha subunit,1
GSE63061,6737,ILMN_1678054,0.0674304595959949,TRIM21,TRIM21,tripartite motif containing 21,1
GSE63061,6738,ILMN_2241775,0.0876414342796818,TROVE2,TROVE2,TROVE domain family member 2,4
GSE63061,6741,ILMN_1672006,0.0952927193092381,SSB,SSB,Sjogren syndrome antigen B,2
GSE63061,6742,ILMN_1809478,0.0556038815007665,SSBP1,SSBP1,single stranded DNA binding protein 1,1
