gene_symbol,probe_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_symbol_raw,gene_id,gene_title,is_annotated_gene,abs_logFC,direction,main_candidate,nominal_candidate
C14orf2,ILMN_1652722,-0.22080179532847,8.31392338196386,-5.20611828489279,4.05890030560862e-07,2.40409857050284e-05,5.86798813570647,C14orf2,9556,chromosome 14 open reading frame 2,TRUE,0.22080179532847,AD_down,TRUE,TRUE
HIGD1A,ILMN_1661799,-0.207479454182088,8.63740954872289,-5.20642584675493,4.05284690735995e-07,2.40409857050284e-05,5.86942127771048,HIGD1A,25994,HIG1 hypoxia inducible domain family member 1A,TRUE,0.207479454182088,AD_down,TRUE,TRUE
CPEB4,ILMN_1722025,0.223889316659574,8.13672603342972,5.2019309780822,4.142192691681e-07,2.4496467334969e-05,5.84848333741162,CPEB4,80315,cytoplasmic polyadenylation element binding protein 4,TRUE,0.223889316659574,AD_up,TRUE,TRUE
TEX30,ILMN_1682774,-0.38506389188835,9.19890045812851,-5.18298518646649,4.54025284339898e-07,2.65635983915627e-05,5.76038949545972,TEX30,93081,testis expressed 30,TRUE,0.38506389188835,AD_down,TRUE,TRUE
WASH1,ILMN_1655952,0.203207736728879,11.462593868755,5.18205728909521,4.56067338460394e-07,2.66397477235853e-05,5.75608159040367,WASH1,100287171,WAS protein family homolog 1,TRUE,0.203207736728879,AD_up,TRUE,TRUE
PGGHG,ILMN_1794707,0.373784300429929,10.0065648140843,5.17303315358343,4.76397581992927e-07,2.761952819536e-05,5.7142179314439,PGGHG,80162,protein-glucosylgalactosylhydroxylysine glucosidase,TRUE,0.373784300429929,AD_up,TRUE,TRUE
RPL4,ILMN_1752285,-0.310680544495576,11.6447657994378,-5.16091302795172,5.0509110426429e-07,2.91947229224979e-05,5.65808389335692,RPL4,6124,ribosomal protein L4,TRUE,0.310680544495576,AD_down,TRUE,TRUE
GPBP1,ILMN_1711792,-0.261081018092225,9.04895090201205,-5.15789504987909,5.1249263590014e-07,2.95334478089702e-05,5.64412265419533,GPBP1,65056,GC-rich promoter binding protein 1,TRUE,0.261081018092225,AD_down,TRUE,TRUE
HK3,ILMN_1670302,0.245696241059703,10.3032370154699,5.15367559615379,5.23017403289313e-07,3.0094704097377e-05,5.62461436125507,HK3,3101,hexokinase 3,TRUE,0.245696241059703,AD_up,TRUE,TRUE
RASAL3,ILMN_1795089,0.222560295597966,11.0979097898795,5.15096383514027,5.29891828140725e-07,3.03989740089953e-05,5.61208353409381,RASAL3,64926,RAS protein activator like 3,TRUE,0.222560295597966,AD_up,TRUE,TRUE
ITGAX,ILMN_2254635,0.320163921979126,10.9746031351727,5.13515901564864,5.71736065561475e-07,3.23634704644709e-05,5.53915631966062,ITGAX,3687,integrin subunit alpha X,TRUE,0.320163921979126,AD_up,TRUE,TRUE
PPIL3,ILMN_1770020,-0.292044276039224,8.88630694708434,-5.13232367176597,5.79574450007212e-07,3.27105332447369e-05,5.52609244775106,PPIL3,53938,peptidylprolyl isomerase like 3,TRUE,0.292044276039224,AD_down,TRUE,TRUE
