dataset_accession,expression_column,sample_geo_accession,sample_title,diagnosis_clean,n_features,missing_values,missing_fraction,mean,sd,min,q1,median,q3,max,iqr,median_mad_z,iqr_mad_z,qc_flag
GSE63060,4856076018_K,GSM1539211,4856076018_K,AD,38322,0,0,7.91215408823227,0.958719452343031,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856076040_B,GSM1539212,4856076040_B,AD,38322,0,0,7.91215087931243,0.958720926597931,7.20448891,7.450968147,7.5432298705,7.85378973725,15.04978951,0.402821590249999,0,0.717617007568958,pass
GSE63060,4856076030_A,GSM1539213,4856076030_A,AD,38322,0,0,7.91215470023822,0.958719124337206,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856050008_L,GSM1539214,4856050008_L,AD,38322,0,0,7.91215354764767,0.958719729507763,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856076002_L,GSM1539215,4856076002_L,AD,38322,0,0,7.91215289748479,0.958720047439874,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856050059_I,GSM1539216,4856050059_I,AD,38322,0,0,7.9121557919368,0.958718502260307,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856076038_E,GSM1539217,4856076038_E,AD,38322,0,0,7.9121563818033,0.958718146243801,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856050009_I,GSM1539218,4856050009_I,AD,38322,0,0,7.91215267433884,0.958720152659617,7.20448891,7.45096694225,7.5432298705,7.85378973725,15.04978951,0.402822795,0,0.717617007568958,pass
GSE63060,4856076030_F,GSM1539219,4856076030_F,AD,38322,0,0,7.91215378607901,0.958719608696443,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856076025_K,GSM1539220,4856076025_K,AD,38322,0,0,7.91215397510756,0.958719511293704,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856076022_D,GSM1539221,4856076022_D,AD,38322,0,0,7.91215334110203,0.958719832340831,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856076041_D,GSM1539222,4856076041_D,AD,38322,0,0,7.91215357633939,0.958719715091062,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856076022_H,GSM1539223,4856076022_H,AD,38322,0,0,7.91215384180687,0.958719580115182,7.20448891,7.450975481,7.5432298705,7.85378973725,15.04978951,0.402814256249999,0,0.717617007568958,pass
GSE63060,4856076023_B,GSM1539224,4856076023_B,AD,38322,0,0,7.91214835194838,0.95872179806276,7.20448891,7.45096596975,7.54321732,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856076041_A,GSM1539225,4856076041_A,AD,38322,0,0,7.91215427149562,0.95871935567778,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856076017_E,GSM1539226,4856076017_E,AD,38322,0,0,7.91215188528976,0.958720508746156,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856050047_I,GSM1539227,4856050047_I,AD,38322,0,0,7.91215280294163,0.95872009224644,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856076018_C,GSM1539228,4856076018_C,AD,38322,0,0,7.91215488866648,0.958719020428886,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856050008_J,GSM1539229,4856050008_J,AD,38322,0,0,7.91215123425625,0.95872078366055,7.20448891,7.450962738,7.5432298705,7.85378973725,15.04978951,0.402826999249999,0,0.717617007568958,pass
GSE63060,4856076027_I,GSM1539230,4856076027_I,AD,38322,0,0,7.91215192736131,0.958720490354284,7.20448891,7.450968147,7.5432298705,7.85378973725,15.04978951,0.402821590249999,0,0.717617007568958,pass
GSE63060,4856076038_C,GSM1539231,4856076038_C,AD,38322,0,0,7.9121514209999,0.958720706652525,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856076027_L,GSM1539232,4856076027_L,AD,38322,0,0,7.91215413993142,0.958719425168967,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856076030_D,GSM1539233,4856076030_D,AD,38322,0,0,7.91215621391574,0.958718249032956,7.20448891,7.450975481,7.5432298705,7.85378973725,15.04978951,0.402814256249999,0,0.717617007568958,pass
GSE63060,4856050048_E,GSM1539234,4856050048_E,AD,38322,0,0,7.91215649795567,0.958718074526593,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
