dataset_accession,gene_id,probe_id,probe_variance,gene_symbol,gene_symbol_raw,gene_title,is_annotated_gene,probes_per_gene,platform_probe_id
GSE63061,100133050,ILMN_3239401,0.00110256257881363,LOC100133050,LOC100133050,glucuronidase beta pseudogene,TRUE,1,
GSE63061,100133053,ILMN_1872496,0.00279937670447254,CXorf51B,CXorf51B,chromosome X open reading frame 51B,TRUE,1,
GSE63061,100133091,ILMN_3246781,0.00128568154635742,LOC100133091,LOC100133091,uncharacterized LOC100133091,TRUE,1,
GSE63061,100133093,ILMN_3249073,0.00222564967383782,FAM25G,FAM25G,family with sequence similarity 25 member G,TRUE,1,
GSE63061,100133172,ILMN_3286235,0.00273875853732373,FAM66A,FAM66A,family with sequence similarity 66 member A,TRUE,1,
GSE63061,100133234,ILMN_3291253,0.00286374068478312,SBF1P1,SBF1P1,SET binding factor 1 pseudogene 1,TRUE,2,
GSE63061,100133301,ILMN_3248462,0.000505728544643541,FAM231B,FAM231B,family with sequence similarity 231 member B,TRUE,1,
GSE63061,100133308,ILMN_3246556,0.00341544686653148,RSU1P2,RSU1P2,Ras suppressor protein 1 pseudogene 2,TRUE,1,
GSE63061,100133315,ILMN_3277511,0.00340410014427167,LOC100133315,LOC100133315,"transient receptor potential cation channel, subfamily C, member 2-like",TRUE,2,
GSE63061,100133669,ILMN_3203238,0.00292173877081173,LOC100133669,LOC100133669,uncharacterized LOC100133669,TRUE,1,
GSE63061,100133941,ILMN_2060413,0.178756953419588,CD24,CD24,CD24 molecule,TRUE,2,
GSE63061,100133985,ILMN_1916599,0.00406683352086949,LOC100133985,LOC100133985,uncharacterized LOC100133985,TRUE,1,
GSE63061,100133991,ILMN_3290052,0.000895299723989622,MAP3K14-AS1,MAP3K14-AS1,MAP3K14 antisense RNA 1,TRUE,1,
GSE63061,100134229,ILMN_3246279,0.00615964821760313,JHDM1D-AS1,JHDM1D-AS1,JHDM1D antisense RNA 1 (head to head),TRUE,1,
GSE63061,100134368,ILMN_3246871,0.00604456316340574,LOC100134368,LOC100134368,uncharacterized LOC100134368,TRUE,1,
GSE63061,100134444,ILMN_3245270,0.000902675749447952,KCNJ18,KCNJ18,potassium voltage-gated channel subfamily J member 18,TRUE,1,
GSE63061,100134868,ILMN_3249658,0.0451633440493726,LOC100134868,LOC100134868,uncharacterized LOC100134868,TRUE,1,
GSE63061,100134869,ILMN_3235825,0.00293901036086601,UBE2Q2P2,UBE2Q2P2,ubiquitin conjugating enzyme E2 Q2 pseudogene 2,TRUE,1,
GSE63061,100134934,ILMN_3239959,0.00783320341643639,TEN1,TEN1,TEN1 CST complex subunit,TRUE,1,
GSE63061,100134938,ILMN_3236765,0.122664669803512,UPK3BL,UPK3BL,uroplakin 3B-like,TRUE,1,
GSE63061,100137047,ILMN_3236838,0.00246525893431471,JMJD7,JMJD7,jumonji domain containing 7,TRUE,1,
GSE63061,10014,ILMN_2388166,0.00199314672317734,HDAC5,HDAC5,histone deacetylase 5,TRUE,1,
GSE63061,100141515,ILMN_1911047,0.00339931493505112,C17orf99,C17orf99,chromosome 17 open reading frame 99,TRUE,1,
GSE63061,100144603,ILMN_3236215,0.00138968012903065,CHKB-AS1,CHKB-AS1,CHKB antisense RNA 1 (head to head),TRUE,1,
GSE63061,100144604,ILMN_3246405,0.00156422067849126,LINC00930,LINC00930,long intergenic non-protein coding RNA 930,TRUE,1,
GSE63061,100144748,ILMN_3238213,0.0236627128367822,KLLN,KLLN,"killin, p53-regulated DNA replication inhibitor",TRUE,2,
GSE63061,10015,ILMN_1693259,0.0399366171877459,PDCD6IP,PDCD6IP,programmed cell death 6 interacting protein,TRUE,1,
GSE63061,100151683,ILMN_3240594,0.00964546542068106,RNU4ATAC,RNU4ATAC,"RNA, U4atac small nuclear (U12-dependent splicing)",TRUE,1,
GSE63061,100151684,ILMN_3241878,0.00110560153096712,RNU6ATAC,RNU6ATAC,"RNA, U6atac small nuclear (U12-dependent splicing)",TRUE,2,
GSE63061,100158262,ILMN_3235851,0.00444532383845018,SCARNA9L,SCARNA9L,small Cajal body-specific RNA 9-like,TRUE,1,
GSE63061,10016,ILMN_1733931,0.0384412289150513,PDCD6,PDCD6,programmed cell death 6,TRUE,1,
GSE63061,100169760,ILMN_3234762,0.174229674144617,RNA5S9,RNA5S9,"RNA, 5S ribosomal 9",TRUE,1,
GSE63061,100169851,ILMN_3238982,0.00268944365453388,PATE3,PATE3,prostate and testis expressed 3,TRUE,1,
GSE63061,100169890,ILMN_3248202,0.000416848694519306,PEG3-AS1,PEG3-AS1,PEG3 antisense RNA 1,TRUE,1,
