ranking_name,k,auc,mean_ad,mean_control
s3_oriented_by_gse85426_auc,44,0.641975308641975,0.159916134726531,-0.159916134726531
s3_oriented_by_gse85426_auc,39,0.641234567901235,0.164645973386128,-0.164645973386128
s3_oriented_by_gse85426_auc,40,0.640987654320988,0.163416031911123,-0.163416031911123
oracle_by_gse85426_auc,50,0.640987654320988,0.158481236760112,-0.158481236760112
s3_oriented_by_gse85426_auc,41,0.64037037037037,0.162694716603633,-0.162694716603633
oracle_by_gse85426_auc,49,0.640246913580247,0.160061430199265,-0.160061430199265
s3_oriented_by_gse85426_auc,47,0.640123456790124,0.156511384666197,-0.156511384666197
s3_oriented_by_gse85426_auc,46,0.64,0.157586269769418,-0.157586269769418
s3_oriented_by_gse85426_auc,45,0.639382716049383,0.159287036692259,-0.159287036692259
s3_oriented_by_gse85426_auc,48,0.639382716049383,0.156626942392012,-0.156626942392012
s3_oriented_by_gse85426_auc,42,0.638888888888889,0.161140197136704,-0.161140197136704
s3_oriented_by_gse85426_auc,49,0.638395061728395,0.156087157061645,-0.156087157061645
s3_oriented_by_gse85426_auc,43,0.638271604938272,0.160680710422609,-0.160680710422609
oracle_by_gse85426_auc,100,0.635061728395062,0.141239902504043,-0.141239902504043
s3_oriented_by_gse85426_auc,100,0.632098765432099,0.139173362212826,-0.139173362212826
s3_oriented_by_gse85426_auc,75,0.631358024691358,0.146022033692398,-0.146022033692398
oracle_by_gse85426_auc,75,0.631358024691358,0.147214033597259,-0.147214033597259
oracle_by_gse85426_auc,150,0.623456790123457,0.128440450990367,-0.128440450990367
s3_oriented_by_gse85426_auc,150,0.621975308641975,0.124971767730184,-0.124971767730184
oracle_by_gse85426_auc,200,0.616666666666667,0.117790473511498,-0.117790473511498
s3_oriented_by_gse85426_auc,200,0.608024691358025,0.111954032680196,-0.111954032680196
oracle_by_gse85426_auc,451,0.598888888888889,0.0718143188932035,-0.0718143188932035
s3_oriented_by_gse85426_auc,451,0.593086419753086,0.0480526888497639,-0.0480526888497639
