gene_id,gene_symbol,s3_logFC,s3_rank,raw_auc,oriented_auc_s3,oracle_auc,oracle_sign
6494,SIPA1,0.209918943753576,204,0.446543209876543,0.446543209876543,0.553456790123457,-1
6171,RPL41,-0.416655124301412,345,0.446851851851852,0.553148148148148,0.553148148148148,-1
9553,MRPL33,-0.374113802661579,25,0.447407407407407,0.552592592592593,0.552592592592593,-1
55863,TMEM126B,-0.225632613599284,321,0.447407407407407,0.552592592592593,0.552592592592593,-1
4927,NUP88,-0.212410125209792,229,0.447777777777778,0.552222222222222,0.552222222222222,-1
6194,RPS6,-0.256404831251058,444,0.447962962962963,0.552037037037037,0.552037037037037,-1
6233,RPS27A,-0.471002989560041,14,0.44820987654321,0.55179012345679,0.55179012345679,-1
55012,PPP2R3C,-0.248938097325816,288,0.448518518518519,0.551481481481481,0.551481481481481,-1
22826,DNAJC8,-0.335615893016988,91,0.448765432098765,0.551234567901235,0.551234567901235,-1
37,ACADVL,0.2026003183364,213,0.448827160493827,0.448827160493827,0.551172839506173,-1
50856,CLEC4A,-0.23189524035432,388,0.448827160493827,0.551172839506173,0.551172839506173,-1
10240,MRPS31,-0.211814255287833,225,0.449320987654321,0.550679012345679,0.550679012345679,-1
5495,PPM1B,-0.251955883583083,387,0.550679012345679,0.449320987654321,0.550679012345679,1
6165,RPL35A,-0.35337284526901,253,0.449814814814815,0.550185185185185,0.550185185185185,-1
2483,FRG1,-0.220132327823211,256,0.449814814814815,0.550185185185185,0.550185185185185,-1
1974,EIF4A2,-0.231136536067741,438,0.450123456790123,0.549876543209877,0.549876543209877,-1
522,ATP5J,-0.70313017355566,63,0.450246913580247,0.549753086419753,0.549753086419753,-1
64926,RASAL3,0.222560295597966,314,0.450679012345679,0.450679012345679,0.549320987654321,-1
79657,RPAP3,-0.234388231089453,85,0.450987654320988,0.549012345679012,0.549012345679012,-1
834,CASP1,-0.374293635541806,177,0.451049382716049,0.548950617283951,0.548950617283951,-1
7905,REEP5,-0.227679976049142,433,0.451111111111111,0.548888888888889,0.548888888888889,-1
26019,UPF2,-0.208948672052036,230,0.54858024691358,0.45141975308642,0.54858024691358,1
3148,HMGB2,-0.249708699591748,221,0.451604938271605,0.548395061728395,0.548395061728395,-1
60492,CCDC90B,-0.238522179158867,217,0.45179012345679,0.54820987654321,0.54820987654321,-1
9403,SEP15,-0.214373260768432,442,0.45179012345679,0.54820987654321,0.54820987654321,-1
55848,PLGRKT,-0.206973487402619,227,0.451851851851852,0.548148148148148,0.548148148148148,-1
5464,PPA1,-0.30844950766569,293,0.451913580246914,0.548086419753087,0.548086419753086,-1
3646,EIF3E,-0.572893727908792,131,0.452777777777778,0.547222222222222,0.547222222222222,-1
8291,DYSF,0.236147208114743,472,0.547222222222222,0.547222222222222,0.547222222222222,1
8883,NAE1,-0.245596514974172,203,0.453395061728395,0.546604938271605,0.546604938271605,-1
5684,PSMA3,-0.389002232699948,41,0.453827160493827,0.546172839506173,0.546172839506173,-1
57665,RDH14,-0.232262025119808,339,0.453950617283951,0.546049382716049,0.546049382716049,-1
6650,CAPN15,0.201492563891384,355,0.453950617283951,0.453950617283951,0.546049382716049,-1
51699,VPS29,-0.329614271854177,274,0.454135802469136,0.545864197530864,0.545864197530864,-1
5473,PPBP,-0.241662138538531,410,0.454382716049383,0.545617283950617,0.545617283950617,-1
7347,UCHL3,-0.250370742081416,39,0.45462962962963,0.54537037037037,0.54537037037037,-1
6279,S100A8,-0.614727161529798,258,0.545185185185185,0.454814814814815,0.545185185185185,1
1069,CETN2,-0.335911876636125,4,0.455740740740741,0.544259259259259,0.544259259259259,-1
51372,TMA7,-0.79364220762582,88,0.455802469135803,0.544197530864198,0.544197530864198,-1
10576,CCT2,-0.253904612593364,329,0.456481481481482,0.543518518518519,0.543518518518519,-1
64979,MRPL36,-0.217376554321237,207,0.45679012345679,0.54320987654321,0.54320987654321,-1
92799,SHKBP1,0.273876327811778,333,0.543024691358025,0.543024691358025,0.543024691358025,1
1043,CD52,-0.331807463625249,461,0.457530864197531,0.542469135802469,0.542469135802469,-1
515,ATP5F1,-0.407173646215678,112,0.457654320987654,0.542345679012346,0.542345679012346,-1
84268,RPAIN,-0.298197488907954,93,0.457962962962963,0.542037037037037,0.542037037037037,-1
9126,SMC3,-0.201936945339363,257,0.458086419753086,0.541913580246914,0.541913580246914,-1
51389,RWDD1,-0.473360319388478,212,0.458518518518519,0.541481481481482,0.541481481481482,-1
