model_id,model_family,feature_strategy,covariate_mode,leakage_class,n_model_features,feature_ids,train_auc,development_auc,final_auc,mean_ad_score_GSE63060,mean_ad_score_GSE63061,mean_ad_score_GSE85426,mean_control_score_GSE63060,mean_control_score_GSE63061,mean_control_score_GSE85426,reaches_final_auc_070,development_minus_final_auc
sig_dev_nominal_concordant_auc_k23,signed_mean_signature,dev_nominal_concordant_auc_top23,gene_only,primary_eligible,23,4694;4725;6166;6230;1069;51506;51258;6119;7388;10063;23218;7979;539;6233;521;5052;529;51503;6727;10312;54460;522;54543,0.839920424403183,0.765757543219156,0.589259259259259,0.427951340502144,0.395019531888952,0.0848858173469417,-0.596662926661642,-0.409759066660928,-0.0848858173469417,FALSE,0.176498283959897
glmnet_s3_rank_k20_a05_lambda.min_gene,glmnet_alpha_0.5,s3_rank_top20_lambda.min,gene_only,primary_eligible,20,51258;4694;6166;1069;4725;6230;7979;529;6119;10063;54556;91860;521;6233;7388;3336;6902;84154;56943;539,0.912267904509284,0.765703854826587,0.538518518518519,0.783101361085427,0.686793553607086,0.588794628588402,0.302406753461292,0.402211708225189,0.533942824826995,FALSE,0.227185336308068
sig_dev_p_k22,signed_mean_signature,dev_p_top22,gene_only,primary_eligible,22,6166;4694;1069;6230;4725;51506;51258;10063;7388;529;23218;6119;5052;7979;6233;539;521;522;51503;6727;4637;199,0.836538461538462,0.765435412863739,0.579506172839506,0.426779392123371,0.397795788017965,0.0879008002375039,-0.595028960172008,-0.412638914436546,-0.0879008002375039,FALSE,0.185929240024233
glmnet_s3_rank_k451_a1_lambda.min_clin,glmnet_alpha_1,s3_rank_top451_lambda.min,gene_plus_age_gender,primary_eligible,451,51258;4694;6166;1069;4725;6230;7979;529;6119;10063;54556;91860;521;6233;7388;3336;6902;84154;56943;539;3301;404672;7381;9553;29889;6741;51506;25983;168537;54460;51382;51503;221443;6629;84324;6161;7347;653505;5684;1070;51650;23658;81892;2959;442454;51019;199;5052;11335;29093;153222;153527;5701;54543;1622;51023;6229;3476;23256;522;51651;27258;10094;6728;246184;9551;7295;6645;55339;91942;6742;8087;10412;51574;6647;7297;9360;10283;26354;3320;4830;79657;103910;29081;51372;5685;90843;22826;55299;84268;25949;689;6633;51241;8813;6154;4724;4666;3945;10312;10307;51318;915;4116;54148;4709;1933;10671;515;146225;51121;129531;388962;84707;6128;746;10988;219927;10569;6637;79716;9168;55781;9605;6135;51668;3646;84265;5689;6144;84661;51399;6139;55262;9482;6253;219402;1349;326624;7318;38;84233;7266;84365;79921;6129;58515;23053;1163;9535;127018;4190;5204;128308;84817;10436;23478;56945;6152;25847;6727;10482;2079;9349;1337;80305;5108;64776;55854;10987;834;388789;51639;5356;51138;4637;6643;55505;338692;3015;1120;8227;10632;2963;1316;6218;4708;51510;114932;10199;393;6160;23429;27089;8883;6494;3820;6232;64979;51637;10299;51065;10476;51389;37;301;5791;23550;60492;11235;132299;5917;3148;2000;2242;51020;10240;80145;55848;3684;4927;26019;79415;4712;9013;387066;51188;64115;6224;1347;170622;9550;54165;51742;537;84186;1350;1653;10875;6125;100008589;100287932;27257;6165;3312;101;2483;9126;6279;8887;10153;5706;2629;23218;23412;80017;6625;6136;114785;4068;6418;11222;53917;51699;1609;126014;55847;26156;64431;55900;4697;59286;3329;54849;9326;10923;55012;58986;54499;334;85441;5464;29080;10808;121260;6170;56655;9978;56942;11025;51315;6916;9556;25994;80315;93081;100287171;80162;6124;65056;3101;64926;3687;53938;7555;11224;805;6191;55863;50807;5293;6156;509;27436;10576;51522;5110;10294;92799;5687;55573;10347;10600;9170;57665;64422;27439;10023;1345;8408;6171;54518;23405;51643;285172;6235;4689;34;6650;2309;8649;1051;83939;55629;54529;9489;8673;5330;23524;6778;3094;9647;1441;2896;7411;353514;115207;8751;162073;6001;837;51307;23031;54951;6189;89849;7913;1178;5495;50856;2205;9586;7439;3385;51192;51185;401466;6404;6283;1207;3092;567;5775;3150;57035;3181;3001;51060;1890;5473;7178;6208;1871;253018;51816;5210;8766;91662;87;2357;6653;9782;168544;2745;51759;29121;8743;9774;7905;6286;55924;2665;6122;1974;54861;10559;51187;9403;8837;6194;10550;9997;5997;8644;23484;6556;91663;6155;1843;9086;7852;2358;57583;64386;23643;6222;1043;4051;4736;3805;226;290;51747;7130;1880;11237;8291;83716;51348;4318;6726,0.919429708222812,0.7653280360786,0.57358024691358,0.76067438911223,0.680054499528554,0.597240802835769,0.333675118143538,0.438514016971562,0.536865293671503,FALSE,0.19174778916502
sig_dev_auc_k40,signed_mean_signature,dev_auc_top40,gene_only,primary_eligible,40,4694;4725;6166;6230;1069;51506;51258;6119;7388;10063;23218;7979;539;6233;521;5052;529;51503;6727;10312;54460;522;54543;442454;9553;6135;1933;79921;6229;168537;3945;23658;84154;64776;404672;153222;6645;199;10094;6728,0.835212201591512,0.765220659293461,0.590740740740741,0.410473894498443,0.369053213005804,0.0748278734972798,-0.572295333675713,-0.382823855282139,-0.0748278734972798,FALSE,0.17447991855272
sig_dev_fdr_concordant_auc_k40,signed_mean_signature,dev_fdr_concordant_auc_top40,gene_only,primary_eligible,40,4694;4725;6166;6230;1069;51506;51258;6119;7388;10063;23218;7979;539;6233;521;5052;529;51503;6727;10312;54460;522;54543;442454;9553;6135;1933;79921;6229;168537;3945;23658;84154;64776;404672;153222;6645;199;10094;6728,0.835212201591512,0.765220659293461,0.590740740740741,0.410473894498443,0.369053213005804,0.0748278734972798,-0.572295333675713,-0.382823855282139,-0.0748278734972798,FALSE,0.17447991855272
sig_dev_nominal_concordant_auc_k40,signed_mean_signature,dev_nominal_concordant_auc_top40,gene_only,primary_eligible,40,4694;4725;6166;6230;1069;51506;51258;6119;7388;10063;23218;7979;539;6233;521;5052;529;51503;6727;10312;54460;522;54543;442454;9553;6135;1933;79921;6229;168537;3945;23658;84154;64776;404672;153222;6645;199;10094;6728,0.835212201591512,0.765220659293461,0.590740740740741,0.410473894498443,0.369053213005804,0.0748278734972798,-0.572295333675713,-0.382823855282139,-0.0748278734972798,FALSE,0.17447991855272
glmnet_dev_fdr_concordant_auc_k15_a1_lambda.min_gene,glmnet_alpha_1,dev_fdr_concordant_auc_top15_lambda.min,gene_only,primary_eligible,15,4694;4725;6166;6230;1069;51506;51258;6119;7388;10063;23218;7979;539;6233;521,0.899071618037135,0.765059594115752,0.575185185185185,0.769757395101905,0.690654084624999,0.623831423361732,0.321011317665368,0.410932798240394,0.542743942715444,FALSE,0.189874408930567
sigclin_dev_p_k2,signature_plus_clinical_glm,dev_p_top2,gene_plus_age_gender,primary_eligible,2,6166;4694,0.863859416445623,0.765005905723183,0.536049382716049,0.74583564290763,0.702901276847697,0.564248492747241,0.354363767099939,0.437302474893155,0.522755656846394,FALSE,0.228956523007133
sig_s3_rank_k3,signed_mean_signature,s3_rank_top3,gene_only,primary_eligible,3,51258;4694;6166,0.873209549071618,0.764844840545474,0.567160493827161,0.494826827508972,0.441227797583275,0.108439328404886,-0.689902788353855,-0.457691521373696,-0.108439328404886,FALSE,0.197684346718314
