dataset_accession,gene_id,gene_symbol,s3_rank,s3_logFC,validation_logFC,validation_P.Value,validation_adj.P.Val,direction_concordant,nominal_concordant,fdr_concordant,auc_oriented,s3_adj.P.Val,s3_P.Value,validation_AveExpr,validation_t,validation_B,mapped,auc_ge_060
GSE140829,2959,GTF2B,46,-0.383973101583747,-0.0528491470052658,0.0275645821489038,0.333489081251937,TRUE,TRUE,FALSE,0.549689030038375,2.05940726144814e-11,3.00941513076289e-14,8.93928389816166,-2.21134127664097,-4.45946513809932,TRUE,FALSE
GSE140829,442454,UQCRBP1,47,-0.741341105469299,-0.114142027157645,0.0796261161657924,0.464084111973213,TRUE,FALSE,FALSE,0.546843985708614,2.73258824347271e-11,4.13574756331656e-14,8.73441669609803,-1.75723378390534,-5.34447891166126,TRUE,FALSE
GSE140829,51019,CCDC53,48,-0.374820100278523,,,,FALSE,FALSE,FALSE,,3.37321621436774e-11,5.19335516538012e-14,,,,FALSE,
GSE140829,199,AIF1,49,-0.617377079153954,-0.0661074618596874,0.0933511883124618,0.488992610600042,TRUE,FALSE,FALSE,0.528604825548057,3.47431400023115e-11,5.43966494478026e-14,11.3671055948923,-1.68190169734586,-5.47202937897995,TRUE,FALSE
GSE140829,5052,PRDX1,50,-0.336689197174901,-0.0107296010361915,0.670554861944429,0.904807611234435,TRUE,FALSE,FALSE,0.496052225309867,4.01513588698698e-11,6.39119276410955e-14,10.6559490267665,-0.42569383808649,-6.78016923918984,TRUE,FALSE
GSE140829,11335,CBX3,51,-0.373687046918101,-0.0293101668058063,0.155361935686429,0.569672308674068,TRUE,FALSE,FALSE,0.531052886948084,4.21968288024143e-11,6.82689678448329e-14,8.327375982175,-1.42347130407365,-5.86764747460785,TRUE,FALSE
GSE140829,29093,MRPL22,52,-0.415028739036356,-0.0358157534617393,0.271374019567498,0.686030431819354,TRUE,FALSE,FALSE,0.533126020025583,4.58464927899582e-11,7.65663467083483e-14,8.57592693380103,-1.10139152677516,-6.2693297750653,TRUE,FALSE
GSE140829,153222,CREBRF,53,0.329484836410611,0.0101821269461239,0.766924384745951,0.935191818086112,TRUE,FALSE,FALSE,0.490318027435931,4.58464927899582e-11,7.6351885131813e-14,9.81218869149287,0.296597484659208,-6.82639646912357,TRUE,FALSE
GSE140829,153527,ZMAT2,54,-0.554823901069102,-0.0556478210710051,0.0544171497890847,0.409588970658237,TRUE,FALSE,FALSE,0.539742402187817,4.59425892315889e-11,7.79256902054507e-14,9.84024279287201,-1.92904247546979,-5.03301286603049,TRUE,FALSE
GSE140829,5701,PSMC2,55,-0.411222862156814,-0.0467383562183182,0.109295918126269,0.512584691646548,TRUE,FALSE,FALSE,0.54351374002029,5.76213064742371e-11,1.03749025278492e-13,9.52107051530236,-1.60486236924786,-5.59676967634362,TRUE,FALSE
GSE140829,54543,TOMM7,56,-0.95861121478525,-0.132308266241844,0.0212774260141839,0.307222985718479,TRUE,TRUE,FALSE,0.561841118609678,6.43034897382722e-11,1.17458490728017e-13,11.5234255730254,-2.31193207024625,-4.23663735077609,TRUE,FALSE
GSE140829,1622,DBI,57,-0.810907786028288,-0.0685440893834558,0.219998558595248,0.642372548195565,TRUE,FALSE,FALSE,0.539588019937365,7.55181198862042e-11,1.43855298567217e-13,9.8102315516896,-1.22841243029492,-6.12306072707505,TRUE,FALSE
GSE140829,51023,MRPS18C,58,-0.637823144949575,-0.0435611444932518,0.209926223728736,0.630656238677606,TRUE,FALSE,FALSE,0.540095275903136,7.55181198862042e-11,1.43175089061542e-13,9.05891089558034,-1.25574250102395,-6.08951920583438,TRUE,FALSE
GSE140829,440567,UQCRHL,59,-0.597470910250404,-0.0928164794046424,0.0285264119547404,0.336569555660837,TRUE,TRUE,FALSE,0.555379118697896,8.39850141708368e-11,1.62175540124261e-13,9.90763946596052,-2.1977550825376,-4.4888199029538,TRUE,FALSE
