gene_set,database,background,ID,Description,module,GeneRatio,gene_ratio_numeric,BgRatio,bg_ratio_numeric,pvalue,p.adjust,qvalue,Count,geneID,RichFactor,FoldEnrichment,zScore,category,subcategory,term_status
unstable_primary,GO_BP,candidate_background,GO:0040011,locomotion,other_or_unclassified,27/224,0.120535714285714,37/444,0.0833333333333333,0.00319456697368725,0.399080258687871,0.381674448306925,27,AIF1/CMTM2/TMSB10/ARHGAP4/PDCD10/HMGB2/FES/PLGRKT/VSIR/ARID4B/HSPA8/ADAM8/S100A8/ITGAX/FOXO3/PPM1F/CSF3R/GRN/ADAM15/CKLF/S100A12/PPBP/RAB11A/SORL1/MYADM/DUSP1/FPR2,0.72972972972973,1.44642857142857,2.85871046133934,,,ranked_not_significant
unstable_primary,GO_BP,candidate_background,GO:0019219,regulation of nucleobase-containing compound metabolic process,other_or_unclassified,50/224,0.223214285714286,77/444,0.173423423423423,0.00362749460591315,0.399080258687871,0.381674448306925,50,ING3/CREBRF/TXN/SSBP1/FXR1/LARP7/HSP90AA1/APBB3/ZSWIM8/COPS5/CASP1/H2AZ1/AKAP17A/GTF2F2/UBE2V2/KLF6/RYBP/HMGB2/ELF4/ARID4B/LSM1/HSPA8/SMC3/CEBPZ/UBE2E1/PSMC6/SET/DGKQ/ZNF302/SUB1/HELZ2/SLC15A4/GPBP1/CNBP/CCT2/USP16/DICER1/UBE3A/FOXO3/CEBPB/STAT6/PPM1F/DEK/CREB5/S100A12/SRSF1/GZMA/ACTN1/BCLAF1/DUSP1,0.649350649350649,1.28710575139147,2.79298597461182,,,ranked_not_significant
unstable_primary,GO_BP,candidate_background,GO:0006357,regulation of transcription by RNA polymerase II,rna_processing,31/224,0.138392857142857,44/444,0.0990990990990991,0.0038474487594257,0.399080258687871,0.381674448306925,31,ING3/CREBRF/TXN/LARP7/COPS5/CASP1/H2AZ1/GTF2F2/KLF6/RYBP/HMGB2/ELF4/ARID4B/CEBPZ/UBE2E1/PSMC6/DGKQ/ZNF302/SUB1/HELZ2/GPBP1/CNBP/USP16/DICER1/UBE3A/FOXO3/CEBPB/STAT6/DEK/CREB5/BCLAF1,0.704545454545455,1.39650974025974,2.79296012072853,,,ranked_not_significant
unstable_primary,GO_BP,candidate_background,GO:0006366,transcription by RNA polymerase II,rna_processing,33/224,0.147321428571429,48/444,0.108108108108108,0.00532394148699638,0.399080258687871,0.381674448306925,33,ING3/CREBRF/TXN/LARP7/DPY30/COPS5/CASP1/H2AZ1/GTF2F2/KLF6/RYBP/HMGB2/ELF4/TAF1C/ARID4B/CEBPZ/UBE2E1/PSMC6/DGKQ/ZNF302/SUB1/HELZ2/GPBP1/CNBP/USP16/DICER1/UBE3A/FOXO3/CEBPB/STAT6/DEK/CREB5/BCLAF1,0.6875,1.36272321428571,2.68202553838288,,,ranked_not_significant
unstable_primary,GO_BP,candidate_background,GO:0007155,cell adhesion,other_or_unclassified,24/224,0.107142857142857,33/444,0.0743243243243243,0.0060139993032958,0.399080258687871,0.381674448306925,24,AIF1/SIPA1/FES/ITGAM/VSIR/ADAM8/S100A8/HSPD1/RASAL3/ITGAX/APBB1IP/FOXO3/CEBPB/PPM1F/CSF3R/ADAM15/CLEC4A/ICAM3/SELPLG/B2M/ACTN1/MYADM/DUSP1/FPR2,0.727272727272727,1.44155844155844,2.65728895713822,,,ranked_not_significant
unstable_primary,GO_BP,candidate_background,GO:0071396,cellular response to lipid,other_or_unclassified,17/224,0.0758928571428571,22/444,0.0495495495495496,0.00807047746133031,0.399080258687871,0.381674448306925,17,CREBRF/CASP1/H2AZ1/CHMP5/RWDD1/HMGB2/FES/HSPA8/DGKQ/UBE3A/FOXO3/CEBPB/ADAM15/B2M/PPBP/AKR1C3/LY96,0.772727272727273,1.53165584415584,2.57810284996905,,,ranked_not_significant
unstable_primary,KEGG,candidate_background,hsa05152,Tuberculosis,other_or_unclassified,7/127,0.0551181102362205,8/279,0.028673835125448,0.0181346875259713,0.873269115319925,0.873269115319925,7,10312/3684/537/3329/3687/805/1051,0.875,1.92224409448819,2.41495306987451,Human Diseases,Infectious disease: bacterial,ranked_not_significant
unstable_primary,KEGG,candidate_background,hsa05132,Salmonella infection,other_or_unclassified,8/127,0.062992125984252,10/279,0.03584229390681,0.0273316592230811,0.873269115319925,0.873269115319925,8,10094/7295/3320/103910/834/837/8743/23643,0.8,1.75748031496063,2.22585913139594,Human Diseases,Infectious disease: bacterial,ranked_not_significant
unstable_primary,KEGG,candidate_background,hsa05417,Lipid and atherosclerosis,other_or_unclassified,8/127,0.062992125984252,12/279,0.0430107526881721,0.113794062370672,0.873269115319925,0.873269115319925,8,3320/834/3312/3329/805/5330/8743/23643,0.666666666666667,1.46456692913386,1.50101747195356,Human Diseases,Cardiovascular disease,ranked_not_significant
unstable_primary,KEGG,candidate_background,hsa04518,Integrin signaling,other_or_unclassified,4/127,0.031496062992126,5/279,0.017921146953405,0.134306219213211,0.873269115319925,0.873269115319925,4,3684/3687/3385/87,0.8,1.75748031496063,1.5594933827777,Environmental Information Processing,Signaling molecules and interaction,ranked_not_significant
