feature_id,gene_symbol,s3_logFC,base_logFC,base_p_value,base_adj_p_value,adjusted_logFC,adjusted_p_value,adjusted_adj_p_value,dataset_accession,base_direction_concordant,adjusted_direction_concordant,base_nominal_concordant,adjusted_nominal_concordant,same_direction_after_adjustment,abs_logfc_change,adjusted_to_base_abs_ratio
MDH1,MDH1,-0.385872523629812,-0.0544278164336503,0.0505542787027888,0.0614068714774534,-0.0194240389693065,0.423910312098274,0.502777346907255,GSE140829,TRUE,TRUE,FALSE,FALSE,TRUE,0.0350037774643438,0.356877057395554
PFDN5,PFDN5,-0.642823154770431,-0.169375366615096,0.0045274012696533,0.0231200480599081,-0.147368124064632,0.0134593078129726,0.149839222016787,GSE140829,TRUE,TRUE,TRUE,TRUE,TRUE,0.0220072425504645,0.870068221901029
EMG1,EMG1,-0.243447527197867,-0.045597270420637,0.0651896970916383,0.0773180128296176,-0.0183648794838688,0.413106070607521,0.500438698509325,GSE140829,TRUE,TRUE,FALSE,FALSE,TRUE,0.0272323909367682,0.402762694223841
RPL24,RPL24,-0.434898466380868,-0.105768908088165,0.0086823168506509,0.0289794591389557,-0.0610413834557201,0.0936138961137147,0.242640388151028,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.044727524632445,0.577120295170659
RPL23,RPL23,-0.636742428565442,-0.185935126695447,0.0224455202033378,0.0413623022370481,-0.132740180182048,0.0954068355800161,0.242640388151028,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0531949465133988,0.713905879653769
TRABD,TRABD,0.206431140771901,0.0114396992777642,0.560811630036167,0.566364220432565,0.010535550936942,0.590068631212781,0.633547372460038,GSE140829,TRUE,TRUE,FALSE,FALSE,TRUE,0.000904148340822209,0.920963976511197
PLRG1,PLRG1,-0.228116716937464,-0.0474366388800912,0.03514258362655,0.0497853268042792,-0.022845969795078,0.264917904259099,0.351567026044305,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0245906690850132,0.48161021384393
ATP5L,ATP5L,-0.432953489130176,-0.100995595033604,0.00858187136419878,0.0289794591389557,-0.0855248493225214,0.0247626592616993,0.176493344386966,GSE140829,TRUE,TRUE,TRUE,TRUE,TRUE,0.0154707457110826,0.846817619066108
NAE1,NAE1,-0.245596514974172,-0.0642274191839471,0.0290234827131331,0.0467464235474285,-0.0248516699867614,0.323517416669999,0.407392302473332,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0393757491971858,0.386932408347068
RPS27,RPS27,-0.791665716678494,-0.0488957297636827,0.215696963436139,0.234054151813682,-0.0249842485639698,0.509714722622964,0.571328590192772,GSE140829,TRUE,TRUE,FALSE,FALSE,TRUE,0.0239114811997129,0.510969949415232
PTPRE,PTPRE,0.212453951260527,0.060870223974987,0.0186372861218986,0.0404468762645459,0.0345523332855726,0.12388255177809,0.257902793673959,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0263178906894145,0.567639332159693
PSD4,PSD4,0.235516283790337,0.0559428339249863,0.0460913983097162,0.0601353735872916,0.0449002407591901,0.106005671347883,0.242640388151028,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0110425931657961,0.802609335440476
